Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
ALBANIA,TIRANA VIA HAMBURG,Montreal,TIA,Weekly,23,347,757
ALBANIA,TIRANA VIA HAMBURG,Toronto,TIA,Weekly,23,352,762
ALBANIA,TIRANA VIA HAMBURG,Vancouver,TIA,Weekly,23,397,767
ALGERIA,ALGIERS VIA BARCELONA,Montreal,ALG,Weekly,30,189.5,189.5
ALGERIA,ALGIERS VIA BARCELONA,Toronto,ALG,Weekly,30,194.5,194.5
ALGERIA,ALGIERS VIA BARCELONA,Vancouver,ALG,Weekly,30,239.5,239.5
ANGOLA,LUANDA VIA ANTWERP,Montreal,LAA,Weekly,35,379.5,379.5
ANGOLA,LUANDA VIA ANTWERP,Toronto,LAA,Weekly,35,384.5,384.5
ANGOLA,LUANDA VIA ANTWERP,Vancouver,LAA,Weekly,35,424.5,424.5
ANGUILLA,ANGUILLA VIA MIAMI,Montreal,AXA,Weekly,6,295,295
ANGUILLA,ANGUILLA VIA MIAMI,Toronto,AXA,Weekly,6,295,295
ANGUILLA,ANGUILLA VIA MIAMI,Vancouver,AXA,Weekly,6,375,375
ANTIGUA,ST. JOHN S VIA MIAMI,Montreal,ANU,Weekly,5,285,285
ANTIGUA,ST. JOHN S VIA MIAMI,Toronto,ANU,Weekly,5,285,285
ANTIGUA,ST. JOHN S VIA MIAMI,Vancouver,ANU,Weekly,5,335,335
ARGENTINA,BUENOS AIRES VIA MIAMI,Montreal,BUE,Weekly,16,170,170
ARGENTINA,BUENOS AIRES VIA MIAMI,Toronto,BUE,Weekly,16,170,170
ARGENTINA,BUENOS AIRES VIA MIAMI,Vancouver,BUE,Weekly,16,235,235
ARUBA,ORANJESTAD VIA MIAMI,Montreal,ORJ,Weekly,4,295,295
ARUBA,ORANJESTAD VIA MIAMI,Toronto,ORJ,Weekly,4,295,295
ARUBA,ORANJESTAD VIA MIAMI,Vancouver,ORJ,Weekly,4,360,360
AUSTRALIA,ADELAIDE VIA SINGAPORE,Montreal,ADL,Weekly,46,190,190
AUSTRALIA,ADELAIDE VIA SINGAPORE,Toronto,ADL,Weekly,46,190,190
AUSTRALIA,ADELAIDE VIA SINGAPORE,Vancouver,ADL,Weekly,46,205,205
AUSTRALIA,BRISBANE VIA SINGAPORE,Montreal,BNE,Weekly,38,160,160
AUSTRALIA,BRISBANE VIA SINGAPORE,Toronto,BNE,Weekly,38,160,160
AUSTRALIA,BRISBANE VIA SINGAPORE,Vancouver,BNE,Weekly,38,155,155
AUSTRALIA,DARWIN VIA SINGAPORE,Montreal,DRW,Weekly,42,240,240
AUSTRALIA,DARWIN VIA SINGAPORE,Toronto,DRW,Weekly,42,240,240
AUSTRALIA,DARWIN VIA SINGAPORE,Vancouver,DRW,Weekly,42,235,235
AUSTRALIA,FREMANTLE VIA SINGAPORE,Montreal,FRE,Weekly,38,135,135
AUSTRALIA,FREMANTLE VIA SINGAPORE,Toronto,FRE,Weekly,38,135,135
AUSTRALIA,FREMANTLE VIA SINGAPORE,Vancouver,FRE,Weekly,38,145,145
AUSTRALIA,HOBART VIA MELBOURNE,Montreal,HBA,Weekly,38,350,350
AUSTRALIA,HOBART VIA MELBOURNE,Toronto,HBA,Weekly,38,350,350
AUSTRALIA,HOBART VIA MELBOURNE,Vancouver,HBA,Weekly,38,350,350
AUSTRALIA,MELBOURNE,Montreal,MEL,Bi Weekly,26,175,175
AUSTRALIA,MELBOURNE,Toronto,MEL,Bi Weekly,26,175,175
AUSTRALIA,MELBOURNE,Vancouver,MEL,Bi Weekly,26,180,180
AUSTRALIA,MELBOURNE VIA SINGAPORE,Montreal,MEL,Weekly,38,150,150
AUSTRALIA,MELBOURNE VIA SINGAPORE,Toronto,MEL,Weekly,38,150,150
AUSTRALIA,MELBOURNE VIA SINGAPORE,Vancouver,MEL,Weekly,38,170,170
AUSTRALIA,SYDNEY,Montreal,SYD,Bi Weekly,24,175,175
AUSTRALIA,SYDNEY,Toronto,SYD,Bi Weekly,24,175,175
AUSTRALIA,SYDNEY,Vancouver,SYD,Bi Weekly,24,175,175
AUSTRALIA,SYDNEY VIA SINGAPORE,Montreal,SYD,Weekly,39,150,150
AUSTRALIA,SYDNEY VIA SINGAPORE,Toronto,SYD,Weekly,39,150,150
AUSTRALIA,SYDNEY VIA SINGAPORE,Vancouver,SYD,Weekly,39,175,175
AUSTRIA,LINZ VIA HAMBURG,Montreal,LNZ,Weekly,20,154.5,264.5
AUSTRIA,LINZ VIA HAMBURG,Toronto,LNZ,Weekly,20,159.5,264.5
