Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
REPUBLIC OF SOUTH AFRICA,CAPE TOWN VIA ANTWERP,Montreal,CPT,Weekly,32,165,165
REPUBLIC OF SOUTH AFRICA,CAPE TOWN VIA ANTWERP,Toronto,CPT,Weekly,32,170,170
REPUBLIC OF SOUTH AFRICA,CAPE TOWN VIA SINGAPORE,Vancouver,CPT,Weekly,45,130,130
REPUBLIC OF SOUTH AFRICA,DURBAN VIA ANTWERP,Montreal,DUR,Weekly,37,180,180
REPUBLIC OF SOUTH AFRICA,DURBAN VIA ANTWERP,Toronto,DUR,Weekly,37,185,185
REPUBLIC OF SOUTH AFRICA,DURBAN VIA SINGAPORE,Vancouver,DUR,Weekly,45,125,125
REPUBLIC OF SOUTH AFRICA,EAST LONDON VIA ANTWERP,Montreal,ESL,Weekly,39,252,302
REPUBLIC OF SOUTH AFRICA,EAST LONDON VIA ANTWERP,Toronto,ESL,Weekly,39,257,307
REPUBLIC OF SOUTH AFRICA,EAST LONDON VIA ANTWERP,Vancouver,ESL,Weekly,39,307,357
REPUBLIC OF SOUTH AFRICA,JOHANNESBURG VIA ANTWERP,Montreal,JNB,Weekly,41,195,195
REPUBLIC OF SOUTH AFRICA,JOHANNESBURG VIA ANTWERP,Toronto,JNB,Weekly,41,200,200
REPUBLIC OF SOUTH AFRICA,JOHANNESBURG VIA SINGAPORE,Vancouver,JNB,Weekly,52,155,155
REPUBLIC OF SOUTH AFRICA,PORT ELIZABETH VIA ANTWERP,Montreal,PLZ,Weekly,35,175,175
REPUBLIC OF SOUTH AFRICA,PORT ELIZABETH VIA ANTWERP,Toronto,PLZ,Weekly,35,180,180
REPUBLIC OF SOUTH AFRICA,PORT ELIZABETH VIA SINGAPORE,Vancouver,PLZ,Weekly,52,185,250
REPUBLIC OF SOUTH AFRICA,PRETorontoIA VIA ANTWERP,Montreal,PRY,Weekly,42,320,395
REPUBLIC OF SOUTH AFRICA,PRETorontoIA VIA ANTWERP,Toronto,PRY,Weekly,42,325,400
REPUBLIC OF SOUTH AFRICA,PRETorontoIA VIA ANTWERP,Vancouver,PRY,Weekly,42,380,450
RUSSIA,MOSCOW VIA HAMBURG/TALLIN,Montreal,MOW,Weekly,26,225,425
RUSSIA,MOSCOW VIA HAMBURG/TALLIN,Toronto,MOW,Weekly,26,230,430
